SampleName,OmernikISample,OmernikIISample,OmernikIIISample
riogrande_2019_sw_WHONDRS-S19S_0066,North American Deserts,Cold Deserts,Arizona/New Mexico Plateau
cobbmillcreek_2019_sw_WHONDRS-S19S_0090,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Middle Atlantic Coastal Plain
cariboucreek_2019_sw_WHONDRS-S19S_0051,Northwestern Forested Mountains,Boreal Cordillera,Interior Highlands and Klondike Plateau
gunnisonriver_2019_sw_WHONDRS-S19S_0062,Northwestern Forested Mountains,Western Cordillera,Southern Rockies
marthacreek_2019_sw_WHONDRS-S19S_0030,Northwestern Forested Mountains,Western Cordillera,Cascades
oksrukuyikcreek_2019_sw_WHONDRS-S19S_0050,Tundra,Brooks Range Tundra,Brooks Range/Richardson Mountains
hopbrook_2019_sw_WHONDRS-S19S_0012,Northern Forests,Atlantic Highlands,Northern Appalachian and Atlantic Maritime Highlands
kuparukriver_2019_sw_WHONDRS-S19S_0047,Tundra,Brooks Range Tundra,Brooks Range/Richardson Mountains
weststlouiscreek_2019_sw_WHONDRS-S19S_0027,Northwestern Forested Mountains,Western Cordillera,Southern Rockies
augustacreek_2019_sw_WHONDRS-S19S_0067,Eastern Temperate Forests,Mixed Wood Plains,Southern Michigan/Northern Indiana Drift Plains
blackearthcreek_2019_sw_WHONDRS-S19S_0061,Eastern Temperate Forests,Mixed Wood Plains,Driftless Area
cartcreek_2019_sw_WHONDRS-S19S_0073,Eastern Temperate Forests,Mixed Wood Plains,Northeastern Coastal Zone
king_2019_sw_WHONDRS-S19S_0016,Great Plains,South-Central Semiarid Prairies,Flint Hills
lowercolorado_2019_sw_WHONDRS-S19S_0063,Great Plains,South-Central Semiarid Prairies,Texas Blackland Prairies
marshallgulch_2019_sw_WHONDRS-S19S_0035,Southern Semiarid Highlands,Western Sierra Madre Piedmont,Madrean Archipelago
sawmillbrook_2019_sw_WHONDRS-S19S_0072,Eastern Temperate Forests,Mixed Wood Plains,Northeastern Coastal Zone
whiteclaycreek1_2019_sw_WHONDRS-S19S_0037,Eastern Temperate Forests,Southeastern USA Plains,Northern Piedmont
whiteclaycreek2_2019_sw_WHONDRS-S19S_0038,Eastern Temperate Forests,Southeastern USA Plains,Northern Piedmont
nfkcasparcreek_2019_sw_WHONDRS-S19S_0069,Marine West Coast Forest,Marine West Coast Forest,Coast Range
arikareeriver_2019_sw_WHONDRS-S19S_0023,Great Plains,South-Central Semiarid Prairies,High Plains
columbiariver2_2019_sw_WHONDRS-S19S_0076,North American Deserts,Cold Deserts,Columbia Plateau
hugercreek_2019_sw_WHONDRS-S19S_0044,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Middle Atlantic Coastal Plain
pringlecreek_2019_sw_WHONDRS-S19S_0025,Great Plains,South-Central Semiarid Prairies,Cross Timbers
sycamorecreek_2019_sw_WHONDRS-S19S_0028,North American Deserts,Upper Gila Mountains,Sonoran Basin and Range
assiniboineriver_2019_sw_WHONDRS-S19S_0005,Great Plains,Temperate Prairies,Lake Manitoba and Lake Agassiz Plain
columbiariver1_2019_sw_WHONDRS-S19S_0075,North American Deserts,Cold Deserts,Columbia Plateau
columbia_2019_sw_WHONDRS-S19S_0036,North American Deserts,Cold Deserts,Columbia Plateau
columbia_2019_sw_WHONDRS-S19S_0074,North American Deserts,Cold Deserts,Columbia Plateau
comocreek_2019_sw_WHONDRS-S19S_0026,Northwestern Forested Mountains,Western Cordillera,Southern Rockies
eastforkpoplarcreek_2019_sw_WHONDRS-S19S_0039,Eastern Temperate Forests,Ozark/Ouachita-Appalachian Forests,Ridge and Valley
kingscreed_2019_sw_WHONDRS-S19S_0040,Great Plains,South-Central Semiarid Prairies,Flint Hills
lajara_2019_sw_WHONDRS-S19S_0034,Northwestern Forested Mountains,Western Cordillera,Southern Rockies
middleoconee_2019_sw_WHONDRS-S19S_0011,Eastern Temperate Forests,Southeastern USA Plains,Piedmont
pamunkeyriver_2019_sw_WHONDRS-S19S_0054,Eastern Temperate Forests,Southeastern USA Plains,Southeastern Plains
redbuttecreek_2019_sw_WHONDRS-S19S_0029,Northwestern Forested Mountains,Western Cordillera,Wasatch and Uinta Mountains
sharkriverslough_2019_sw_WHONDRS-S19S_0042,Tropical Wet Forests,Everglades,Southern Florida Coastal Plain
crookedriver_2019_sw_WHONDRS-S19S_0041,Northwestern Forested Mountains,Western Cordillera,Blue Mountains
flintriver_2019_sw_WHONDRS-S19S_0015,Eastern Temperate Forests,Southeastern USA Plains,Southeastern Plains
lecontecreek_2019_sw_WHONDRS-S19S_0018,Eastern Temperate Forests,Ozark/Ouachita-Appalachian Forests,Blue Ridge
southforkpolouse_2019_sw_WHONDRS-S19S_0055,North American Deserts,Cold Deserts,Columbia Plateau
altamaha_2019_sw_WHONDRS-S19S_0010,Eastern Temperate Forests,Mississippi Alluvial and Southeast USA Coastal Plains,Southern Coastal Plain
littlewindriver_2019_sw_WHONDRS-S19S_0009,North American Deserts,Cold Deserts,Wyoming Basin
deadrun_2019_sw_WHONDRS-S19S_0006,Eastern Temperate Forests,Southeastern USA Plains,Northern Piedmont
providencecreek_2019_sw_WHONDRS-S19S_0007,Northwestern Forested Mountains,Western Cordillera,Sierra Nevada
teakettle_2019_sw_WHONDRS-S19S_0008,Northwestern Forested Mountains,Western Cordillera,Sierra Nevada
