genome	taxonomy
NASQAN2014_188_B_bin.30.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Algoriphagus; s__NASQAN2014_188_B_bin.30
NASQAN2014_188_B_bin.39.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__UBA2093; s__NASQAN2014_188_B_bin.39
NASQAN2014_188_B_bin.62.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans; s__NASQAN2014_188_B_bin.62
NASQAN2014_188_F_bin.45.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylopumilus_A; s__NASQAN2014_188_F_bin.45
NASQAN2014_190_A_bin.13.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__NASQAN2014_190_A_bin.13; s__NASQAN2014_190_A_bin.13
NASQAN2014_190_B_bin.14.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans; s__Limnohabitans sp009923505
NASQAN2014_190_B_bin.28.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudohongiellaceae; g__CAILUG01; s__NASQAN2014_190_B_bin.28
NASQAN2014_190_B_bin.3.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__UBA954; s__NASQAN2014_190_B_bin.3
NASQAN2014_190_B_bin.30.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudohongiellaceae; g__UBA5078; s__NASQAN2014_190_B_bin.30
NASQAN2014_190_B_bin.38.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans; s__NASQAN2014_190_B_bin.38
NASQAN2014_190_B_bin.40.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__UBA2463; s__NASQAN2014_190_B_bin.40
NASQAN2014_190_B_bin.43.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__Casp-actino8; s__NASQAN2014_190_B_bin.43
NASQAN2014_190_B_bin.61.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Chakrabartia; s__NASQAN2014_190_B_bin.61
NASQAN2014_190_B_bin.69.fa	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__RFN20; f__CAG-826; g__UBA970; s__NASQAN2014_190_B_bin.69
NASQAN2014_190_B_bin.85.fa	Root; d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__UBA961; g__UBA961; s__NASQAN2014_190_B_bin.85
NASQAN2014_190_B_bin.86.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__SYFN01; s__NASQAN2014_190_B_bin.86
NASQAN2014_190_F_bin.41.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__UBA954; s__UBA954 sp002293155
NASQAN2014_193_A_bin.20.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__S36-B12; g__Mxb001; s__NASQAN2014_193_A_bin.20
NASQAN2014_193_A_bin.38.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__NASQAN2014_193_A_bin.38
NASQAN2014_193_A_bin.39.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__Sediminibacterium sp018971025
