user_genome,classification
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.108,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.109,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__RFOM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.111,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.112,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__UBA955 sp002293105
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.116,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.121,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__SXXK01 sp903924405
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.125,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Vulcanococcus;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.126,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__SXZD01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.127,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__Ga0077527;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.129,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__UBA9464;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.130,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.131,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__RFOM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.137,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__RFTU01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.14,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.141,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__UBA5976;g__UBA5976;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.149,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Vulcanococcus;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.153,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__SYAN01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.160,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__ER46;s__ER46 sp002304435
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.166,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.167,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__SXXZ01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.169,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__VFMC01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.17,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA961;g__UBA961;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.170,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas_B;s__Roseomonas_B sp903844785
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.180,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__SYIM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.181,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.182,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Deianiraeaceae;g__;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.184,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA954;s__UBA954 sp002293155
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.186,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__SXON01;g__CAMAXZ01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.187,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.189,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__CAIKBL01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.192,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.196,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__RGVZ01;g__CAIYRB01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.199,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__SYIM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.2,d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__UBA970;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.205,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.207,d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__OMII01;g__OMII01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.26,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA2093;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.33,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA2463;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.34,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.35,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA2463;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.4,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__PNKF01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.41,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.42,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA2463;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.44,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp001437855
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.5,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__PNKF01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.53,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__CAMCYM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.55,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__UBA964 sp903885195
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.58,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__VGRA01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.6,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.60,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA4615;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.62,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriaceae;g__UBA10438;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.63,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter sp002359975
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.65,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.67,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chth-196;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.70,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA7803;s__UBA7803 sp003476445
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.73,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__M0103;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.90,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Vulcanococcus;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.91,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA954;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.92,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_B_bin.94,d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__UBA1018;f__UBA1018;g__CAIOHW01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_F_bin.12,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__PNKF01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_F_bin.19,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp002299885
assiniboineriver_2019_sw_WHONDRS-S19S_0005_F_bin.22,d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__OMII01;g__OMII01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_F_bin.23,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Vulcanococcus;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_F_bin.24,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_F_bin.25,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__
