SampleName,Sample,Latitude,Longitude,streamorde,DamDensWs,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,PrecipWs,TmaxWs,TmeanWs,RunoffWs,PopDen2010Ws,WsAreaSqKm,WWTPAllDensWs,AridityWs,NPPWs
NASQAN2015_042,NASQAN2015_042,38.45602,-121.50134,7,0.00533803,0.020277465,1.245053289,0.011947116,2.427317743,1.058845667,0.995237998,0.322070568,0.363337068,0.647815312,40.78222792,1.023200717,24.45614296,13.24314731,0.970129112,10.83212768,0.427209119,1.19419042,991.4558218,19.23557779,12.35026081,455.6343236,37.72813098,59572.5345,8.90E-04,0.5318,5321
NASQAN2014_193,NASQAN2014_193,31.42717,-81.60539,7,0.036244965,0,1.502163943,0,6.033021417,3.853097698,1.581629866,0.625431621,0.279792526,11.59864692,26.22388735,6.69866115,3.766987047,6.169249416,8.246306643,7.895952967,14.78539339,0.739778056,1195.815164,24.2324768,17.77356282,384.3738003,78.45296782,36556.8021,0.005170036,0.7729,7236
NASQAN2014_190,NASQAN2014_190,29.34969,-95.58245,7,0.013255688,0,1.121153169,0,3.023817784,1.397472285,0.961515486,0.31229629,0.199766503,4.248193856,5.55421174,1.345580176,22.26785104,25.22683171,12.20510296,20.39670784,1.565936345,0.173562817,774.5664417,24.83649275,18.02219171,63.82686175,25.43264879,103578.1758,0.00454729,0.3769,5007
NASQAN2014_188,NASQAN2014_188,38.92956,-77.11692,7,0.012880854,0,0.617194815,0,6.041784784,3.213158165,1.495575316,0.506721133,0.2277889,45.10281194,1.643971769,10.70346844,0.428617105,0.824293927,21.40818025,7.215012047,0.480069778,0.09135162,1025.929151,17.37853207,11.16853451,400.5275385,82.46930799,29966.9562,0.030567002,0.8324,8243
NASQAN2014_035,NASQAN2014_035,29.34969,-95.58245,7,0.013255688,0,1.121153169,0,3.023817784,1.397472285,0.961515486,0.31229629,0.199766503,4.248193856,5.55421174,1.345580176,22.26785104,25.22683171,12.20510296,20.39670784,1.565936345,0.173562817,774.5664417,24.83649275,18.02219171,63.82686175,25.43264879,103578.1758,0.00454729,0.3769,5007
NASQAN2014_024,NASQAN2014_024,29.34969,-95.58245,7,0.013255688,0,1.121153169,0,3.023817784,1.397472285,0.961515486,0.31229629,0.199766503,4.248193856,5.55421174,1.345580176,22.26785104,25.22683171,12.20510296,20.39670784,1.565936345,0.173562817,774.5664417,24.83649275,18.02219171,63.82686175,25.43264879,103578.1758,0.00454729,0.3769,5007
NASQAN2012_107,NASQAN2012_107,32.44417,-90.91417,7,0.029099707,0,2.625763255,0,2.979560426,1.50830861,0.646477186,0.150726983,0.190366482,12.58310093,7.479783454,7.213894165,1.708208052,1.020790946,8.826378862,39.96300382,12.12112797,0.982508857,1406.373204,22.99255004,16.9598544,554.4842878,17.46655386,34742.6181,0.011455671,0.9276,4896
NASQAN2011_458,NASQAN2011_458,41.17809,-91.18209,7,0.0067716,0,0.805615367,0,2.852195031,2.79118941,1.224420259,0.331217496,0.083744281,2.847492016,0.034910843,0.586207186,0.018706312,2.088976372,6.612731524,76.57007379,1.906493818,1.2460263,898.0443755,14.21265061,8.606737727,260.4022285,26.95460833,32340.9546,0.006400553,0.7533,5149
NASQAN2011_451,NASQAN2011_451,38.48977,-87.55002,7,0.018129261,0,1.209244767,0,5.78939172,4.017799976,2.375652189,0.867905181,0.16858768,27.76881085,0.16009204,1.870808683,0.115657118,0.768688241,7.929525198,45.75544012,1.034279165,0.168117076,1124.544987,17.25744874,11.61118365,398.8381844,89.37967026,29069.028,0.018060459,0.9031,7136
NASQAN2011_275,NASQAN2011_275,40.72781,-91.95962,7,0.019333189,0,1.322942884,0,3.069005011,2.336919095,1.046294859,0.26404923,0.112781895,7.26873391,0.071532801,0.932863567,0.065152848,1.0482951,11.87558012,68.44607359,1.016107819,1.123667274,863.9223469,14.61129699,8.910064632,218.3282028,24.4833772,36310.6152,0.006141455,0.6936,5371
NASQAN2011_265,NASQAN2011_265,40.72781,-91.95962,7,0.019333189,0,1.322942884,0,3.069005011,2.336919095,1.046294859,0.26404923,0.112781895,7.26873391,0.071532801,0.932863567,0.065152848,1.0482951,11.87558012,68.44607359,1.016107819,1.123667274,863.9223469,14.61129699,8.910064632,218.3282028,24.4833772,36310.6152,0.006141455,0.6936,5371
NASQAN2011_262,NASQAN2011_262,41.17809,-91.18209,7,0.0067716,0,0.805615367,0,2.852195031,2.79118941,1.224420259,0.331217496,0.083744281,2.847492016,0.034910843,0.586207186,0.018706312,2.088976372,6.612731524,76.57007379,1.906493818,1.2460263,898.0443755,14.21265061,8.606737727,260.4022285,26.95460833,32340.9546,0.006400553,0.7533,5149
NASQAN2011_256,NASQAN2011_256,41.17809,-91.18209,7,0.0067716,0,0.805615367,0,2.852195031,2.79118941,1.224420259,0.331217496,0.083744281,2.847492016,0.034910843,0.586207186,0.018706312,2.088976372,6.612731524,76.57007379,1.906493818,1.2460263,898.0443755,14.21265061,8.606737727,260.4022285,26.95460833,32340.9546,0.006400553,0.7533,5149
NASQAN2011_250,NASQAN2011_250,41.17809,-91.18209,7,0.0067716,0,0.805615367,0,2.852195031,2.79118941,1.224420259,0.331217496,0.083744281,2.847492016,0.034910843,0.586207186,0.018706312,2.088976372,6.612731524,76.57007379,1.906493818,1.2460263,898.0443755,14.21265061,8.606737727,260.4022285,26.95460833,32340.9546,0.006400553,0.7533,5149
NASQAN2011_177,NASQAN2011_177,38.48977,-87.55002,7,0.018129261,0,1.209244767,0,5.78939172,4.017799976,2.375652189,0.867905181,0.16858768,27.76881085,0.16009204,1.870808683,0.115657118,0.768688241,7.929525198,45.75544012,1.034279165,0.168117076,1124.544987,17.25744874,11.61118365,398.8381844,89.37967026,29069.028,0.018060459,0.9031,7136
